dmu,Punteggio di efficienza,Efficienza,Ha slack,Slack deviazione standard,Slack beta,Slack rendimento atteso
AcomeA_PMITALIA_ESG_A1,0.796651,Non efficiente,No,0.00032775374,-0.0065548884,0.0
Acomea_Pmitalia_Esg_P2,0.803922,Non efficiente,No,0.0094086778,-0.023157675,0.0
Allianz_Azioni_Italia_All_Stars_A,0.824561,Non efficiente,Sì,0.0,0.0082452832,0.0
Albemarle_Target_Italy_A,0.657237,Non efficiente,No,0.00038750174,-0.0077499084,0.0
Algebris_Ucits_Funds_Plc_Algebris_Core_Italy_Fund_R_Eur_Acc,0.561404,Non efficiente,Sì,-0.00043859158,0.070526669,0.0
Amundi_Impegno_Italia_B,0.683544,Non efficiente,Sì,-0.00016456,0.00329096,0.0
Amundi_Sviluppo_Attivo_Italia_A,0.676692,Non efficiente,No,0.00012782253,-0.0025562232,0.0
Anima_Iniziativa_Italia_A,0.959672,Non efficiente,No,0.00038619368,-0.0077238021,0.0
Anima_Italia_A,0.959211,Non efficiente,No,6.5794211e-05,-0.0013155053,0.0
Arca_Azioni_Italia_P,0.752322,Non efficiente,No,0.00017027884,-0.0034055611,0.0
Azimut_Trend_Italia,0.718885,Non efficiente,No,0.00011826132,-0.0023656079,0.0
Bnl_Azioni_Italia,0.496512,Non efficiente,Sì,-0.00011731537,0.0023460042,0.0
Eurizon_Azioni_Italia_R,0.776622,Non efficiente,No,0.00012178937,-0.0024356042,0.0
Fidelity_Funds_Italy_Fund_A-acc-eur,0.861244,Non efficiente,Sì,-5.2631789e-05,0.26717701,0.0
Fideuram_Italia_R,1.0,Efficiente,No,0.0,0.0,0.0
Mediolanum_Challenge_Italian_Equity_Fund_L_Acc,0.479391,Non efficiente,Sì,-0.00014775163,0.0029548258,0.0
Mediolanum_Flessibile_Futuro_Italia_La,0.643275,Non efficiente,Sì,-0.00042105132,0.0090644079,0.0
Zenit_Pianeta_Italia_R,0.744361,Non efficiente,Sì,-0.00025563832,0.0051128279,0.0
Schroder_International_Selection_Fund_Italian_Equity_A_Accumulation_Eur,0.637959,Non efficiente,Sì,-0.00029824047,0.1775762,0.0
Investimenti_Azionario_Italia_A,0.728745,Non efficiente,Sì,-2.8339474e-05,0.00056683684,0.0
Interfund_Equity_Italy,0.877193,Non efficiente,Sì,-0.00012280684,0.0024561511,0.0
Fonditalia_Equity_Italy_R,0.859649,Non efficiente,Sì,0.0,0.0085963905,0.0
Abrdn_Sicav_I_Euro_Government_Bond_Fund_A_Acc_Eur,0.025,Non efficiente,No,0.0,0.0,0.0
Amundi_Euro_Government_Bond_Ae,0.02,Non efficiente,No,0.0,0.0,0.0
Anima_Tricolore_A,0.0125,Non efficiente,No,0.0,0.0,0.0
Blackrock_Euro_Government_Enhanced_Index_Fund_Flexible_Eur_Acc,0.016667,Non efficiente,No,0.0,0.0,0.0
Bluebay_Funds_Bluebay_Investment_Grade_Euro_Government_Bond_Fund_R_Eur_Acc,0.016667,Non efficiente,No,0.0,0.0,0.0
Dws_Eurorenta,0.016667,Non efficiente,No,0.0,0.0,0.0
Arca_Bb,0.190476,Non efficiente,Sì,0.0,0.13999996,-0.022703741
Anima_Visconteo_Plus_A,0.004545,Non efficiente,No,0.0,0.0,0.0
Anima_Visconteo_Plus_Ad,0.004545,Non efficiente,No,0.0,0.0,0.0
Arca_Economia_Reale_Bilanciato_Italia_55_Pir,0.233918,Non efficiente,Sì,0.0,0.18654966,-0.018329389
Azimut_Dinamico,0.050752,Non efficiente,No,0.0,0.0,0.0
Bancoposta_Rinascimento_A,0.005075,Non efficiente,No,0.0,0.0,0.0
Carmignac_Portfolio_Patrimoine_Europe_A_Eur_Acc,0.0125,Non efficiente,No,0.0,0.0,0.0
Epsilon_Dlongrun,0.004545,Non efficiente,No,0.0,0.0,0.0
Eurizon_Am_Sicav_Low_Carbon_Euro_R_Cap,0.004545,Non efficiente,No,0.0,0.0,0.0
Eurizon_Bilanciato_Euro_Multimanager,0.004348,Non efficiente,No,0.0,0.0,0.0
Fideuram_Bilanciato,1.0,Efficiente,No,0.0,0.0,0.0
Ubs_lux_Key_Selection_Sicav_European_Growth_And_Income_eur_P_acc,0.004545,Non efficiente,No,0.0,0.0,0.0
Fidelity_Funds_European_Multi_Asset_Income_Fund_A_acc_eur,0.004441,Non efficiente,No,0.0,0.0,0.0
