dmu,i_deviazionestandard,i_beta,i_commissionedingresso,o_rendimentoatteso
Investimenti Bilanciati Internazionali C,0.084,0.49,0.020,0.040
Anima Visconteo Plus A,0.048,0.36,0.030,0.025
Anima Visconteo Plus AD,0.049,0.36,0.030,0.019
Arca Economia Reale Bilan Italia 55 PIR,0.054,0.43,0.030,0.040
Azimut Dinamico,0.042,0.29,0.020,0.017
Carmignac Portfolio Patrimoine Europe A EUR Acc,0.037,0.24,0.040,0.063
Groupama Bilanciato - NC,0.046,0.25,0.030,0.040
Eurizon Bilanciato Euro Multimanager,0.052,0.36,0.015,0.035
Fideuram Bilanciato,0.054,0.38,0.015,0.027
UBS (Lux) KSS Eur GrInc € P-acc,0.057,0.42,0.040,0.037
Fidelity Funds - European Multi Asset Income Fund A-Acc-EUR,0.049,0.37,0.0525,0.030
Dpam B - Balanced Flexible B,0.035,0.25,0.020,0.029
Groupama Bilanciato - Ic,0.046,0.25,0.030,0.043
Investimenti Bilanciati Internazionali A,0.071,0.50,0.020,0.035
Ubs (lux) Key Selection Sicav - European Growth And Income (eur) Q-acc,0.057,0.42,0.040,0.040
