dmu,i_deviazionestandard,i_beta,i_commissionedingresso,o_rendimentoatteso
AcomeA PMITALIA ESG A1,0.123,0.96,0.040,0.069
Schroder International Selection Fund Italian Equity C Accumulation EUR,0.108,0.84,0.010,0.066
Symphonia Azionario Small Cap Italia,0.124,0.66,0.040,0.079
Algebris Core Italy R EUR Acc,0.086,0.69,0.030,0.088
Allianz Azioni Italia All Stars A,0.128,0.99,0.020,0.049
Amundi Impegno Italia B,0.117,0.91,0.030,0.049
Amundi Sviluppo Attivo Italia A,0.099,0.81,0.020,0.054
Anima Iniziativa Italia A,0.122,0.93,0.040,0.058
Anima Italia A,0.129,0.97,0.040,0.048
Arca Azioni Italia P,0.131,1.02,0.040,0.048
Azimut Trend Italia,0.134,1.01,0.020,0.048
Bnl Azioni Italia,0.138,0.97,0.020,0.043
Eurizon Azioni Italia R,0.130,1.01,0.015,0.058
Fidelity Funds - Italy Fund A-acc-eur,0.103,0.86,0.053,0.066
Fideuram Italia R,0.133,0.99,0.030,0.071
Mediolanum Challenge Italian Equity Fund L Acc,0.124,0.99,0.030,0.046
Mediolanum Flessibile Futuro Italia La,0.114,0.85,0.030,0.047
Zenit Pianeta Italia R,0.103,0.78,0.020,0.045
Schroder International Selection Fund Italian Equity A Accumulation Eur,0.100,0.81,0.050,0.064
Investimenti Azionari Italia A,0.130,0.99,0.020,0.049
Interfund Equity Italy,0.129,1.00,0.065,0.060
Fonditalia Equity Italy R,0.131,1.02,0.038,0.054
