Fondo,Efficienza
AcomeA PMITALIA ESG A1,0.796650717703349
Acomea Pmitalia Esg P2,1
Allianz Azioni Italia All Stars A,1
Albemarle Target Italy A,0.657236842105263
Algebris Ucits Funds Plc - Algebris Core Italy Fund R Eur Acc,0.56140350877193
Amundi Impegno Italia B,0.687830687830688
Amundi Sviluppo Attivo Italia A,0.824823834837434
Anima Iniziativa Italia A,0.959671907040328
Anima Italia A,0.95921052631579
Arca Azioni Italia P,0.752321981424149
Azimut Trend Italia,0.883256982414659
Bnl Azioni Italia,0.600327640984909
Eurizon Azioni Italia R,0.961701710051768
Fidelity Funds - Italy Fund A-acc-eur,0.861244019138756
Fideuram Italia R,1
Mediolanum Challenge Italian Equity Fund L Acc,0.491228070175439
Mediolanum Flessibile Futuro Italia La,0.64327485380117
Zenit Pianeta Italia R,0.801246033363417
Schroder International Selection Fund Italian Equity A Accumulation Eur,0.637958532695375
Investimenti Azionari Italia A,0.864920922997148
Interfund Equity Italy,0.87719298245614
Fonditalia Equity Italy R,0.859649122807017
Abrdn Sicav I - Euro Government Bond Fund A Acc Eur,-0
Amundi Euro Government Bond - Ae ©,-0
Anima Tricolore A,-0
Blackrock Euro Government Enhanced Index Fund Flexible Eur Acc,-0
Bluebay Funds - Bluebay Investment Grade Euro Government Bond Fund R Eur Acc,-0
Dws Eurorenta,-0
Arca Bb,0.409756097560976
Anima Visconteo Plus A,-0
Anima Visconteo Plus Ad,-0
Arca Economia Reale Bilanciato Italia 55 Pir,0.233918128654971
Azimut Dinamico,0.0507518796992481
Bancoposta Rinascimento A,-0
Carmignac Portfolio Patrimoine Europe A Eur Acc,-0
Epsilon Dlongrun,-0
Eurizon Am Sicav Low Carbon Euro R Cap,-0
Eurizon Bilanciato Euro Multimanager,-0
Fideuram Bilanciato,1
Ubs (lux) Key Selection Sicav - European Growth And Income (eur) P-acc,-0
Fidelity Funds - European Multi Asset Income Fund A-acc-eur,-0
